Time (ps),Quercetin-FN1,pQ3RU-FN1
932,2.13414,2.223462
934,2.127351,2.224734
936,2.129143,2.233068
938,2.137922,2.235143
940,2.128608,2.24625
942,2.133607,2.243982
944,2.1345,2.249367
946,2.13765,2.238624
948,2.125384,2.242478
950,2.122284,2.232578
952,2.112841,2.229038
954,2.12429,2.236441
956,2.130367,2.21857
958,2.138541,2.218375
960,2.131401,2.232547
962,2.132396,2.227331
964,2.125829,2.223948
966,2.130541,2.230603
968,2.137171,2.239754
970,2.138217,2.22352
972,2.138359,2.234659
974,2.133765,2.231706
976,2.125624,2.246923
978,2.131292,2.240616
980,2.125573,2.251429
982,2.120752,2.23231
984,2.132782,2.233052
986,2.126447,2.236955
988,2.122746,2.236724
990,2.137677,2.232173
992,2.143407,2.22621
994,2.135564,2.216055
996,2.134941,2.231307
998,2.135674,2.228445
1000,2.129284,2.223598
1002,2.123223,2.223785
1004,2.116282,2.2266
1006,2.133599,2.232943
1008,2.129128,2.227463
1010,2.126311,2.225875
1012,2.122992,2.228358
1014,2.137419,2.227682
1016,2.139303,2.225129
1018,2.132635,2.232182
1020,2.13412,2.217223
1022,2.141412,2.224488
1024,2.14394,2.226942
1026,2.14026,2.228877
1028,2.146362,2.222255
1030,2.143556,2.22834
1032,2.151621,2.228648
1034,2.159785,2.231576
1036,2.153324,2.230196
1038,2.167089,2.228828
1040,2.168102,2.22267
1042,2.154935,2.230233
1044,2.155123,2.230793
1046,2.16306,2.234895
1048,2.160259,2.238024
1050,2.153714,2.22824
1052,2.145743,2.243393
1054,2.141356,2.231815
1056,2.1396,2.230006
1058,2.143583,2.238376
1060,2.144829,2.239762
1062,2.148451,2.225993
1064,2.143405,2.222696
1066,2.151583,2.228515
1068,2.145519,2.226344
1070,2.144309,2.216744
1072,2.142633,2.211033
1074,2.127742,2.203908
1076,2.132325,2.209384
1078,2.126384,2.207521
1080,2.128533,2.204862
1082,2.134531,2.2033
1084,2.13705,2.202368
1086,2.151796,2.193355
1088,2.156531,2.201175
1090,2.149737,2.20078
1092,2.151633,2.200921
1094,2.150832,2.202505
1096,2.158427,2.194929
1098,2.15642,2.189769
1100,2.148607,2.195837
1102,2.153456,2.199969
1104,2.151362,2.197903
1106,2.151024,2.191579
1108,2.144723,2.206874
1110,2.137178,2.197199
1112,2.146093,2.20087
1114,2.145793,2.21852
1116,2.157908,2.21938
1118,2.157147,2.199592
1120,2.165232,2.19422
1122,2.160073,2.201603
1124,2.146544,2.20712
1126,2.148644,2.202959
1128,2.151191,2.192616
1130,2.146826,2.192096
1132,2.144578,2.191886
1134,2.14506,2.204567
1136,2.138972,2.189478
1138,2.129966,2.19661
1140,2.125949,2.191901
1142,2.122876,2.190663
1144,2.120413,2.19904
1146,2.130874,2.191307
1148,2.128733,2.198904
1150,2.12573,2.200117
1152,2.129048,2.197689
1154,2.138183,2.191713
1156,2.144928,2.191785
1158,2.157969,2.192894
1160,2.146422,2.176037
1162,2.147136,2.192647
1164,2.148372,2.193468
1166,2.148387,2.178516
1168,2.144987,2.195395
1170,2.145824,2.203281
1172,2.153291,2.203408
1174,2.149817,2.203847
1176,2.166341,2.196857
1178,2.16862,2.199947
1180,2.160966,2.190485
1182,2.167216,2.196438
1184,2.163059,2.194293
1186,2.157266,2.189758
1188,2.167942,2.183657
1190,2.164695,2.189843
1192,2.147366,2.205429
1194,2.152581,2.203339
1196,2.150834,2.214296
1198,2.154556,2.208273
1200,2.150461,2.212042
1202,2.143922,2.205031
1204,2.155409,2.208173
1206,2.156775,2.216838
1208,2.14969,2.22438
1210,2.147221,2.220148
1212,2.146844,2.219979
1214,2.142169,2.212155
1216,2.132026,2.214729
1218,2.134247,2.218582
1220,2.136224,2.216357
1222,2.131398,2.224444
1224,2.125162,2.216799
1226,2.130127,2.21793
1228,2.130659,2.216276
1230,2.131078,2.225758
1232,2.13478,2.217148
1234,2.132862,2.207258
1236,2.142026,2.216622
1238,2.133864,2.215703
1240,2.139877,2.203606
1242,2.140957,2.211249
1244,2.137677,2.210504
1246,2.149451,2.213687
1248,2.153912,2.209963
1250,2.146217,2.214562
1252,2.137572,2.209459
1254,2.143025,2.203248
1256,2.147251,2.203679
1258,2.147269,2.198907
1260,2.140072,2.198627
1262,2.143895,2.20077
1264,2.156209,2.179019
1266,2.156444,2.177146
1268,2.159546,2.189683
1270,2.157716,2.194864
1272,2.169163,2.203581
1274,2.157014,2.210039
1276,2.151076,2.206192
1278,2.161637,2.214827
1280,2.15464,2.217476
1282,2.145635,2.213745
1284,2.146547,2.198474
1286,2.149282,2.189525
1288,2.1407,2.19388
1290,2.138783,2.197739
1292,2.144377,2.201896
1294,2.142811,2.205208
1296,2.136739,2.204045
1298,2.134944,2.195122
1300,2.138141,2.190963
1302,2.140362,2.192599
1304,2.132446,2.206222
1306,2.130635,2.208316
1308,2.128034,2.208232
1310,2.121512,2.213235
1312,2.11273,2.203953
1314,2.127001,2.194773
1316,2.117464,2.204496
1318,2.123218,2.197798
1320,2.132313,2.199956
1322,2.137949,2.203285
1324,2.14093,2.203588
1326,2.138383,2.205965
1328,2.149182,2.190763
1330,2.148779,2.200393
1332,2.155721,2.19913
1334,2.14097,2.207909
1336,2.142835,2.20694
1338,2.148148,2.206815
