Time (ns),Quercetin-FN1,pQ3RU-FN1
0.4820000,0.1809238,0.3584728
0.4840000,0.1793327,0.3636989
0.4860000,0.1788899,0.3675257
0.4880000,0.1852576,0.3747555
0.4900000,0.1883213,0.3650025
0.4920000,0.2007494,0.3716957
0.4940000,0.2090491,0.3732139
0.4960000,0.2069604,0.3765717
0.4980000,0.1978431,0.4011222
0.5000000,0.1985815,0.4102861
0.5020000,0.1916258,0.4098726
0.5040000,0.1954339,0.3791507
0.5060000,0.1869001,0.3825316
0.5080000,0.1923369,0.3898973
0.5100001,0.1872147,0.4075239
0.5120000,0.1858295,0.4097242
0.5140000,0.1893857,0.4174439
0.5160000,0.1910633,0.4072493
0.5180000,0.1935323,0.4156762
0.5200000,0.1806883,0.4049924
0.5220000,0.1944954,0.4121495
0.5240000,0.1970202,0.3982305
0.5260000,0.2044780,0.3919982
0.5280000,0.2112307,0.3960111
0.5300000,0.2106771,0.3948570
0.5320000,0.1965417,0.3973773
0.5340000,0.1925515,0.3830079
0.5360000,0.1969003,0.3923663
0.5380000,0.1982146,0.3927702
0.5400000,0.1922430,0.4003706
0.5420001,0.2002238,0.3909786
0.5440000,0.2113677,0.3881466
0.5460000,0.2037862,0.3803852
0.5480000,0.2028556,0.3850298
0.5500000,0.1969197,0.3830901
0.5520000,0.2015826,0.3894509
0.5540000,0.2049212,0.3781334
0.5560001,0.2062490,0.3826350
0.5580000,0.1991212,0.3866088
0.5600000,0.2022600,0.3883542
0.5620000,0.2098853,0.3909553
0.5640000,0.2103963,0.3862442
0.5660000,0.2014845,0.3846699
0.5680000,0.2008300,0.3961056
0.5700001,0.2024369,0.3850996
0.5720000,0.2118212,0.3830720
0.5740000,0.2177707,0.3810809
0.5760000,0.2179009,0.3741342
0.5780000,0.2097595,0.3824290
0.5800000,0.2122587,0.3888438
0.5820000,0.2126715,0.3881328
0.5840001,0.2155092,0.3956580
0.5860000,0.2193316,0.3788030
0.5880000,0.2114875,0.3649920
0.5900000,0.2188331,0.3641406
0.5920000,0.2057761,0.3553002
0.5940000,0.2007101,0.3443968
0.5960000,0.2111935,0.3448132
0.5980000,0.2181347,0.3545730
0.6000000,0.2145041,0.3641806
0.6020001,0.2177688,0.3644239
0.6040000,0.2142880,0.3649496
0.6060000,0.1998081,0.3731361
0.6080000,0.2094140,0.3517644
0.6100000,0.2119394,0.3584146
0.6120000,0.2170973,0.3503231
0.6140000,0.2107629,0.3429352
0.6160001,0.1945665,0.3532247
0.6180000,0.1938644,0.3566163
0.6200000,0.1955080,0.3636120
0.6220000,0.1977446,0.3687491
0.6240000,0.2079942,0.3533468
0.6260000,0.2041273,0.3643795
0.6280000,0.1913470,0.3652261
